Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
FLRP11,Shoppings,2064,"839,59%","7,79%",1,1.496.400,13.924,1,2930,26649,"909,40%","1,21%"
FMOF11,Lajes Corporativas,7190,"2,92%","4,41%",62,36.525.800,2.411,2,"2.165,64",17271,"7,97%","0,00%"
FPAB11,Lajes Corporativas,18999,"7,14%","7,40%",54,142.492.000,647.872,2,"3.896,48",38654,"9,92%","19,00%"
FPNG11,Lajes Corporativas,34249,"1,39%","0,00%",197,894.569.000,71,8,"62.966,40","1.604,83","2,55%","1,92%"
FRBR11,Títulos e Val. Mob.,10371,"9,23%","0,00%",108,1.324.330.000,0,0,000,000,"0,00%","0,00%"
FTCA11,Títulos e Val. Mob.,813,"19,51%","15,43%",77,36.259.400,68.325,0,000,000,"0,00%","0,00%"
FTCE11,Híbrido,"2.841,75","-0,30%","2,88%",100,3.606.230.000,472.069,79,"2.025,17",4775,"2,36%","0,01%"
FVBI11,Lajes Corporativas,15971,"0,00%","0,00%",0,0,0,1,000,63695,"0,00%","0,00%"
FVPQ11,Shoppings,6999,"9,01%","8,24%",40,195.982.000,119.133,1,"3.407,54",78757,"23,11%","12,40%"
FYTO11,Títulos e Val. Mob.,804,"14,73%","3,77%",82,122.862.000,134.180,0,000,000,"0,00%","0,00%"
FZDA11,Outros,11831,"0,74%","3,35%",68,183.380.000,1.295,6,208,003,"1,64%","0,00%"
FZDB11,Outros,13114,"2,98%","3,11%",78,472.104.000,19,20,336,012,"3,67%","0,00%"
GALG11,,908,"7,99%","0,00%",98,1.338.920.000,0,4,32763,2764,"8,44%","0,00%"
GAME11,Outros,852,"26,95%","12,83%",90,184.864.000,126.464,0,000,000,"0,00%","0,00%"
GARE11,,866,"8,19%","11,90%",96,1.276.990.000,5.747.150,4,19176,2224,"11,60%","0,00%"
GCFF11,Títulos e Val. Mob.,6930,"12,04%","0,00%",89,24.981.100,0,0,000,000,"0,00%","0,00%"
GCOI11,Híbrido,9890,"-3,35%","0,00%",102,11.175.700,330,5,"5.996,73",000,"0,00%","0,00%"
GCRA11,Títulos e Val. Mob.,5100,"14,25%","14,93%",59,89.294.100,138.486,0,000,000,"0,00%","0,00%"
GCRI11,Títulos e Val. Mob.,6310,"14,77%","15,96%",70,91.738.500,218.944,1,93589,000,"0,00%","0,00%"
GESE11B,Outros,"1.520,00","11,39%","0,00%",136,79.040.000,0,1,000,72537,"0,00%","0,00%"
GGRC11,Logística,1004,"10,15%","11,49%",89,1.232.580.000,3.694.400,26,"2.055,45",18569,"9,03%","0,00%"
GLCR11,Híbrido,10128,"0,00%","0,00%",99,26.288.500,4.326,0,000,000,"0,00%","0,00%"
GLOG11,Logística,5895,"15,57%","9,34%",54,44.212.500,15.673,1,61543,12612,"20,49%","0,00%"
GLPF11,Logística,10451,"1,45%","3,25%",104,157.288.000,25.159,0,000,000,"0,00%","0,00%"
GRLV11,Logística,14550,"5,72%","0,00%",2438,156.199.000,0,1,000,18300,"0,00%","3,69%"
GRUL11,Logística,812,"11,00%","10,80%",85,200.564.000,425.089,1,"43.428,80","3.804,92","8,76%","0,00%"
GRWA11,Títulos e Val. Mob.,800,"10,86%","14,15%",80,22.067.900,13.846,0,000,000,"0,00%","0,00%"
GSFI11,Shoppings,810,"0,00%","0,00%",62,778.464.000,2.791.730,0,000,000,"0,00%","0,00%"
GTLG11,Logística,6399,"13,75%","0,00%",70,459.000.000,0,5,"2.714,27",31812,"11,72%","1,69%"
GTWR11,Lajes Corporativas,7553,"13,30%","12,77%",76,906.360.000,930.525,3,"5.445,75",77247,"14,18%","0,00%"
GURB11,Híbrido,10800,"10,46%","0,00%",94,122.597.000,0,2,"21.746,70","2.369,56","10,90%","9,70%"
GWIR11,Shoppings,17599,"2,80%","0,00%",74,67.231.200,0,0,000,000,"4,21%","0,00%"
GZIT11,Híbrido,4623,"10,19%","19,89%",51,1.009.720.000,482.663,6,"8.332,20","1.079,24","12,95%","2,36%"
HAAA11,Lajes Corporativas,4599,"3,33%","3,37%",62,158.895.000,621,2,"12.117,00",94034,"7,76%","9,65%"
HABT11,Títulos e Val. Mob.,8136,"13,49%","16,49%",86,661.195.000,805.879,0,000,000,"0,00%","0,00%"
HBCR11,Lajes Corporativas,13800,"7,28%","17,24%",112,220.800.000,644.029,2,"2.222,61",42386,"19,07%","0,00%"
HBRH11,Híbrido,9080,"4,63%","0,00%",81,256.345.000,0,5,"8.349,82",60690,"7,27%","2,83%"
HBTT11,Títulos e Val. Mob.,"1.055,00","6,53%","0,00%",119,190.126.000,0,0,000,000,"0,00%","0,00%"
HCHG11,Outros,7884,"7,44%","12,58%",83,94.608.000,470.753,0,000,000,"0,00%","0,00%"
HCRI11,Hospital,26471,"11,80%","11,67%",81,52.942.000,25.515,1,"9.511,26","1.217,22","12,80%","0,00%"
HCTR11,Títulos e Val. Mob.,2250,"19,99%","20,00%",22,496.895.000,881.684,0,000,000,"0,00%","0,00%"
HDEL11,Logística,10001,"24,19%","30,45%",81,84.008.400,5,1,"2.531,27",27571,"10,89%","0,00%"
HFOF11,Títulos e Val. Mob.,588,"109,07%","11,77%",8,135.510.000,1.446.100,0,000,000,"0,00%","0,00%"
HGAG11,Outros,1564,"6,42%","11,06%",64,3.882.660,604,0,000,000,"0,00%","0,00%"
HGBL11,Logística,840,"8,94%","16,16%",93,211.138.000,87.841,1,"1.594,14",23249,"14,58%","0,00%"
HGBS11,Shoppings,1941,"79,47%","9,88%",9,250.647.000,2.457.160,16,43970,41111,"93,50%","4,96%"
HGCR11,Títulos e Val. Mob.,9200,"12,82%","12,79%",95,1.418.470.000,2.750.770,0,000,000,"0,00%","0,00%"
HGFF11,Títulos e Val. Mob.,6980,"12,67%","12,68%",85,199.879.000,291.244,0,000,000,"0,00%","0,00%"
HGIC11,Títulos e Val. Mob.,6911,"5,99%","15,57%",63,31.977.600,19.061,2,"1.355,41",000,"0,00%","0,00%"
HGJH11,Lajes Corporativas,19129,"9,55%","0,00%",55,335.342.000,0,2,"26.273,60","2.781,84","10,59%","3,42%"
HGLG11,Logística,15749,"7,40%","8,32%",97,5.321.210.000,6.235.790,27,"3.225,90",25813,"8,00%","4,60%"
HGPO11,Lajes Corporativas,13370,"4,52%","19,25%",97,234.384.000,212.850,0,000,000,"0,00%","0,00%"
HGRE11,Lajes Corporativas,11361,"6,79%","9,10%",74,1.342.620.000,1.622.620,13,"7.464,44",73752,"9,88%","23,67%"
HGRU11,Híbrido,12418,"8,57%","9,56%",99,2.885.700.000,3.756.930,104,"4.677,24",34059,"7,28%","0,82%"
HILG11,Outros,19861,"9,02%","7,91%",98,104.519.000,0,1,"3.200,07",35344,"11,04%","0,00%"
HLOG11,Logística,822,"57,29%","7,45%",7,34.935.000,72.438,4,17181,17937,"104,40%","2,96%"
HMOC11,Shoppings,22695,"2,17%","0,00%",95,86.698.800,0,0,000,000,"3,27%","0,00%"
HOFC11,Lajes Corporativas,2940,"0,27%","1,42%",45,111.103.000,154.230,3,"2.431,92",40485,"16,65%","49,80%"
HOSI11,Híbrido,8370,"8,29%","9,21%",92,47.997.800,6.723,2,000,000,"0,00%","0,00%"
HPDP11,Shoppings,9037,"7,40%","7,19%",97,297.137.000,491.015,1,"2.196,32",17027,"7,75%","16,81%"
HRDF11,Híbrido,300,"-0,46%","0,00%",41,4.552.280,739,0,000,000,"0,00%","0,00%"
HREC11,Títulos e Val. Mob.,815,"11,56%","12,26%",93,421.240.000,323.363,0,000,000,"0,00%","0,00%"
HRES11,Híbrido,14925,"14,91%","16,05%",116,69.885.100,0,0,000,000,"0,00%","0,00%"
HSAF11,Títulos e Val. Mob.,8075,"13,75%","13,27%",91,204.004.000,371.234,0,000,000,"0,00%","0,00%"
HSLG11,Logística,8173,"10,90%","10,22%",79,1.034.710.000,510.701,5,"2.535,25",27747,"10,94%","0,00%"
HSML11,Shoppings,8447,"8,20%","10,38%",78,1.757.700.000,2.041.900,13,"7.201,60",81126,"11,27%","3,11%"
HSRE11,Híbrido,10200,"6,47%","9,89%",112,907.670.000,753.550,24,"7.384,29",61605,"8,34%","0,00%"
HTMX11,Hotel,14200,"4,37%","15,32%",98,410.109.000,802.554,22,"8.573,07",45142,"5,27%","0,00%"
HUCG11,Hospital,11600,"-0,51%","0,00%",113,130.152.000,545,2,"4.552,39",000,"0,00%","0,00%"
HUSC11,Outros,9405,"11,83%","11,21%",63,80.019.700,6.038,1,"1.074,05",15489,"14,42%","0,00%"
HUSI11,Hospital,"1.240,00","8,30%","8,19%",99,144.289.000,30,1,"7.053,96",63298,"8,97%","0,00%"
IAAG11,Títulos e Val. Mob.,723,"13,35%","16,15%",74,75.583.700,156.004,0,000,000,"0,00%","0,00%"
IAGR11,Outros,392,"0,19%","2,64%",62,10.967.900,25.916,0,000,000,"0,00%","0,00%"
IBBP11,Outros,806,"9,12%","5,27%",90,246.062.000,14.118,24,74367,8592,"11,55%","0,21%"
IBCR11,Títulos e Val. Mob.,5759,"10,79%","17,34%",62,55.195.600,141.205,0,000,000,"0,00%","0,00%"
IBFF11,Títulos e Val. Mob.,6640,"8,28%","0,00%",93,44.267.600,0,0,000,000,"0,00%","0,00%"
ICRI11,Títulos e Val. Mob.,9440,"10,03%","14,03%",94,364.135.000,894.006,0,000,000,"0,00%","0,00%"
IDFI11,Títulos e Val. Mob.,200,"16,41%","277,77%",46,4.115.850,0,2,000,000,"0,00%","0,00%"
IDGR11,Híbrido,150,"-15,05%","134,66%",0,1.325.040,0,0,000,000,"0,00%","0,00%"
IFID11,Títulos e Val. Mob.,8006,"7,66%","0,00%",125,59.897.000,0,0,000,000,"0,00%","0,00%"
IFIE11,Títulos e Val. Mob.,7198,"12,86%","0,00%",104,64.817.600,0,0,000,000,"0,00%","0,00%"
INLG11,Logística,7080,"13,18%","12,77%",71,319.457.000,205.843,5,"2.656,40",37513,"14,12%","0,84%"
