Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Cap Rate,Vacância Média
MGCR11,Títulos e Val. Mob.,9.4,11.11,0.0,0.96,126115000,0,0,0.0,0.0
MGFF11,Títulos e Val. Mob.,69.99,0.0,0.0,0.0,0,0,0,0.0,0.0
MGHT11,Híbrido,16.56,1.85,3.47,0.63,21756300,206269,1,8.54,0.0
MGIM11,Híbrido,101.5,-2.38,0.0,1.03,25101000,0,0,0.0,0.0
MGLG11,Híbrido,40.99,5.82,0.0,0.91,103703000,0,6,2.41,8.72
MINT11,Outros,96.5,13.23,15.98,0.99,50180000,0,3,0.0,0.0
MMPD11,Outros,110.61,8.31,8.42,0.98,58678300,0,0,0.0,0.0
MORC11,Títulos e Val. Mob.,89.87,12.37,0.0,0.92,171455000,0,0,0.0,0.0
MORE11,Títulos e Val. Mob.,76.21,6.04,0.0,0.88,176740000,0,0,0.0,0.0
MXRF11,Híbrido,9.38,10.09,12.02,1.0,4102110000,11322700,2,0.0,0.0
NAUI11,Outros,1030.0,-1.24,0.0,2.78,53287000,0,0,0.0,0.0
NAVT11,Títulos e Val. Mob.,70.45,11.72,14.16,0.83,43135300,77263,0,0.0,0.0
NCHB11B,Títulos e Val. Mob.,7.97,15.42,14.84,0.82,121793000,7729,0,0.0,0.0
NCRA11,Títulos e Val. Mob.,7.7,21.21,15.44,0.73,34341600,63185,0,0.0,0.0
NCRI11,Títulos e Val. Mob.,8.68,13.78,13.98,0.87,34286000,24066,0,0.0,0.0
NEWL11,Híbrido,103.03,15.14,11.07,0.78,290278000,387271,3,13.71,0.0
NEWU11,Híbrido,84.0,5.36,1.06,1.08,62328000,423092,3,17.22,47.02
NEXG11,Outros,128.5,3.64,8.37,1.29,89757200,358034,0,0.0,0.0
NPAR11,Outros,12.82,213.32,0.0,0.7,1533140,0,0,0.0,0.0
NSLU11,Hospital,164.01,11.18,11.24,0.78,212112000,325227,1,12.1,0.0
NVHO11,Hospital,12.97,14.37,7.84,0.78,538184000,6159,4,14.82,0.0
OBAL11,Residencial,1095.0,-2.93,21.49,0.89,154701000,0,4,0.0,0.0
OCRE11,Títulos e Val. Mob.,73.0,9.98,10.89,0.81,30878000,24644,0,0.0,0.0
OGHY11,Títulos e Val. Mob.,8.72,7.32,0.0,0.92,23678100,0,0,0.0,0.0
OIAG11,Títulos e Val. Mob.,7.57,13.67,15.7,0.76,68379800,203085,0,0.0,0.0
ONEF11,Lajes Corporativas,200.03,6.08,0.0,1.09,182227000,0,0,0.0,0.0
ORPD11,Títulos e Val. Mob.,93.0,0.0,0.0,0.65,26970000,0,0,0.0,0.0
OUCY11,Híbrido,88.5,0.0,0.0,0.0,0,0,8,0.0,0.0
OUFF11,Títulos e Val. Mob.,61.1,0.0,2.24,0.0,0,0,0,0.0,0.0
OUJP11,Híbrido,79.44,14.96,14.12,0.8,258369000,412060,0,0.0,0.0
OULG11,Logística,37.5,6.12,1.99,0.61,93048200,291241,2,11.27,0.0
OURE11,Híbrido,78.2,0.0,2.57,0.0,0,0,8,0.0,0.0
PATA11,Outros,10.5,9.78,8.94,1.05,17871100,9255,0,0.0,0.0
PATC11,Lajes Corporativas,38.6,4.47,4.31,0.94,134229000,328577,4,6.65,0.0
PATL11,Logística,49.48,14.53,13.66,0.51,246981000,395786,4,17.2,8.79
PDDA11B,Logística,106.5,2.16,0.0,1.72,264257000,0,2,3.97,0.0
PEMA11,Títulos e Val. Mob.,50.4,13.83,15.36,0.81,27820800,401,0,0.0,0.0
PLAG11,Outros,48.35,11.05,11.09,0.8,252476000,288558,12,12.14,0.0
PLCA11,Títulos e Val. Mob.,71.64,21.36,14.57,0.75,39904800,92675,0,0.0,0.0
PLCR11,Títulos e Val. Mob.,80.63,15.24,12.08,0.88,170062000,190795,0,0.0,0.0
PLOG11,Logística,66.71,14.54,0.0,0.62,50032500,0,1,18.69,0.0
PLRI11,Títulos e Val. Mob.,14.9,4.64,39.32,0.82,14219100,5486,0,0.0,0.0
PMFO11,Títulos e Val. Mob.,87.45,8.02,11.28,1.0,85343100,13169,0,0.0,0.0
PMIS11,Títulos e Val. Mob.,8.0,12.13,14.08,0.87,118426000,259579,0,0.0,0.0
PNCR11,Residencial,68.65,-0.36,11.88,1.28,34325000,0,1,0.0,0.0
PNDL11,Títulos e Val. Mob.,1039.0,-0.38,0.0,0.98,149961000,147927,0,0.0,0.0
PNPR11,Híbrido,50.0,4.97,0.0,1.31,44890800,52673,0,0.0,0.0
PNRC11,Híbrido,105.95,5.81,7.22,1.96,43450100,0,3,0.0,0.0
PORD11,Títulos e Val. Mob.,8.23,12.63,12.87,0.86,306845000,484504,0,0.0,0.0
PQAG11,Logística,56.99,10.05,9.68,0.99,797398000,461210,1,9.71,0.0
PQDP11,Shoppings,2400.0,10.2,9.14,0.72,241346000,184772,1,11.5,2.16
PRSN11,Residencial,1.33,-9.89,37.71,0.4,4297560,197,2,0.0,0.0
PRSV11,Lajes Corporativas,47.1,-20.02,0.0,0.32,10057400,642,1,0.0,100.0
PULV11,Títulos e Val. Mob.,7.91,16.42,12.98,0.8,94921900,26799,0,0.0,0.0
PURB11,Híbrido,95.1,11.88,0.0,0.82,107954000,0,2,12.37,9.7
PVBI11,Lajes Corporativas,76.06,8.96,8.75,0.72,2063510000,3568570,7,9.41,13.29
QAGR11,Outros,41.0,13.19,12.94,0.68,206640000,149034,12,15.19,0.0
QAMI11,Títulos e Val. Mob.,84.68,24.53,0.0,0.91,67862400,0,0,0.0,0.0
QIFF11,Títulos e Val. Mob.,97.49,7.63,0.0,1.09,14623500,0,0,0.0,0.0
QIRI11,Títulos e Val. Mob.,78.04,9.53,0.0,0.87,11706000,0,0,0.0,0.0
QMFF11,Títulos e Val. Mob.,98.52,7.55,0.0,1.1,14778000,0,0,0.0,0.0
RBBV11,Títulos e Val. Mob.,100.0,6.51,0.0,0.99,125416000,0,0,0.0,0.0
RBCO11,Lajes Corporativas,44.0,12.33,8.39,0.49,166276000,144616,4,16.13,0.0
RBDS11,Residencial,2.55,-60.12,0.0,0.14,322634,95,0,0.0,0.0
RBED11,Outros,94.03,15.89,17.01,0.0,221443000,0,0,0.0,0.0
RBFF11,Títulos e Val. Mob.,51.43,12.57,11.8,0.85,192822000,314318,0,0.0,0.0
RBGS11,Shoppings,28.45,3.3,0.0,0.31,30669100,0,1,5.01,11.94
RBHG11,Títulos e Val. Mob.,65.49,12.67,15.24,0.75,141980000,255843,0,0.0,0.0
RBHY11,Títulos e Val. Mob.,80.94,12.75,15.03,0.87,153260000,264007,0,0.0,0.0
RBIR11,Residencial,87.51,3.18,5.71,0.94,133769000,111914,1,0.0,0.0
RBIV11,Títulos e Val. Mob.,83.7,9.92,0.0,0.97,181458000,0,0,0.0,0.0
RBLG11,Logística,35.5,19.54,21.89,0.53,22727100,140,1,12.85,0.0
RBOP11,Outros,207.0,17.24,8.95,0.3,21044400,19350,2,12.99,81.98
RBRD11,Híbrido,39.5,13.56,13.27,0.61,73145500,56786,5,14.79,9.5
RBRF11,Títulos e Val. Mob.,6.95,16.03,11.86,0.81,950814000,1810680,0,0.0,0.0
RBRI11,Híbrido,870.0,48.21,36.84,1.07,121509000,3171,0,0.0,0.0
RBRL11,Logística,77.91,9.56,11.21,0.74,520987000,599862,5,12.47,0.0
RBRM11,Títulos e Val. Mob.,160000.0,-8.41,0.0,8.16,86240000,0,0,0.0,0.0
RBRP11,Outros,48.2,7.14,12.15,0.63,587037000,1120230,6,7.34,0.0
RBRR11,Títulos e Val. Mob.,85.97,10.4,12.17,0.93,1294470000,2748240,0,0.0,0.0
RBRS11,Híbrido,45.96,-1.69,0.76,0.48,79708400,34874,3,5.85,29.54
RBRX11,Títulos e Val. Mob.,8.17,12.27,12.59,0.85,240759000,411033,1,0.0,0.0
RBRY11,Títulos e Val. Mob.,91.95,10.95,12.92,0.96,1174160000,2387390,0,0.0,0.0
RBTS11,Outros,388.0,-2.18,6.8,1.0,21931700,415,0,0.0,0.0
RBVA11,Outros,8.42,87.19,12.07,0.8,131472000,1850420,82,114.43,8.76
RBVO11,Lajes Corporativas,5.33,0.0,17.49,0.0,0,0,0,0.0,0.0
RCFF11,Títulos e Val. Mob.,98.0,27.0,20.81,0.96,31673600,6524,0,0.0,0.0
RCRB11,Lajes Corporativas,125.32,8.23,8.49,0.62,462518000,965031,9,10.43,2.3
RCRI11B,Híbrido,1200.0,4.39,0.0,1.16,61214400,0,0,0.0,0.0
RDES11,Híbrido,58.0,2.54,0.0,0.75,43036000,0,3,13.96,47.02
RDPD11,Títulos e Val. Mob.,22.96,4.47,0.0,2.23,172391000,0,0,0.0,0.0
RECD11,Títulos e Val. Mob.,9.0,6.01,9.59,0.91,49084000,784,0,0.0,0.0
RECM11,Híbrido,8.5,5.71,8.48,0.87,71404400,26145,0,0.0,0.0
RECR11,Títulos e Val. Mob.,81.44,13.51,14.22,0.91,2153410000,2975360,1,0.0,100.02
RECT11,Híbrido,32.69,13.65,13.06,0.36,279287000,264711,9,21.14,7.3
RECX11,Títulos e Val. Mob.,67.99,10.8,1.89,0.94,14843100,0,0,0.0,0.0
REIT11,Títulos e Val. Mob.,85.0,10.5,8.45,0.29,2234740,12,0,0.0,0.0
RELG11,Híbrido,70.86,4.95,7.55,0.64,94567100,361105,5,18.8,8.47
RENV11,Outros,6.61,-6.17,3.84,0.7,6787110,3180,0,0.0,0.0
RFOF11,Títulos e Val. Mob.,59.85,12.36,13.48,0.85,64528100,141837,0,0.0,0.0
RINV11,Títulos e Val. Mob.,103.4,7.8,12.5,1.0,339104000,430464,0,0.0,0.0
RMAI11,Híbrido,82.0,7.31,7.1,0.77,200392000,69821,2,10.46,38.25
RNDP11,Títulos e Val. Mob.,40.5,7.21,35.93,0.72,4352980,0,0,0.0,0.0
RNGO11,Lajes Corporativas,44.98,10.76,10.09,0.54,120366000,72656,4,14.64,13.21
ROOF11,Outros,386.4,-12.72,0.0,0.93,29944100,1654,42,0.02,0.0
RPRI11,Títulos e Val. Mob.,85.66,12.79,14.29,0.86,297388000,361649,0,0.0,0.0
RRCI11,Títulos e Val. Mob.,73.5,13.18,13.71,0.81,35409100,11095,0,0.0,0.0
RSPD11,Residencial,1025.0,6.28,7.01,1.06,152736000,16014,1,0.0,0.0
RURA11,Títulos e Val. Mob.,8.2,13.08,12.27,0.8,1312820000,2043360,0,0.0,0.0
RVBI11,Títulos e Val. Mob.,64.0,13.22,13.51,0.84,657665000,1123130,0,0.0,0.0
RZAG11,Títulos e Val. Mob.,8.81,18.91,15.27,0.92,599436000,1407210,0,0.0,0.0
RZAK11,Títulos e Val. Mob.,80.95,15.56,16.53,0.94,712998000,1830160,0,0.0,0.0
RZAT11,Híbrido,90.94,-57.52,13.74,0.89,385135000,903689,11,9.02,0.0
RZDM11,Híbrido,550.16,19.74,0.0,4.15,88025600,0,4,0.0,0.0
RZEO11,Outros,193.0,-0.28,26.96,0.95,608514000,142,36,21.48,0.0
RZLC11,Outros,1005.89,8.13,9.33,1.01,50294500,696244,0,0.0,0.0
RZTR11,Títulos e Val. Mob.,90.78,18.06,13.06,0.94,1711360000,3489460,17,12.1,24.4
RZZR11,Outros,159.89,7.63,8.63,0.96,808000000,51312,10,8.02,0.0
RZZV11,Logística,1100.0,2.53,1.87,1.09,120396000,15979,1,2.62,0.0
SADI11,Títulos e Val. Mob.,8.74,12.34,12.38,0.9,135355000,134657,0,0.0,0.0
SAIC11,Lajes Corporativas,34.04,-2.42,0.0,0.61,48668300,4,1,1.59,100.0
SAPI11,Títulos e Val. Mob.,8.72,13.05,13.04,0.87,134609000,112861,0,0.0,0.0
SARE11,Híbrido,4.73,6.22,5.93,0.61,436784000,1229570,2,11.85,89.68
SCPF11,Híbrido,2.95,1.13,0.0,0.28,12390000,3945,2,26.82,27.01
SDIL11,Logística,96.5,5.44,0.0,1.0,746822000,0,6,12.81,0.0
SDIP11,Lajes Corporativas,88.0,1.98,0.0,0.89,371533000,0,5,9.15,0.0
SEED11,Híbrido,100.0,10.26,11.91,1.13,164000000,15476,0,0.0,0.0
SEQR11,Outros,48.6,14.59,14.15,0.52,80952800,78006,4,18.69,0.0
SHDP11B,Shoppings,1210.05,9.01,8.84,0.87,1439630000,0,1,10.35,2.16
SHOP11,Híbrido,25.99,7.61,0.0,0.73,58535900,3437,1,13.53,44.36
SHPH11,Shoppings,970.0,6.14,8.4,0.93,590681000,90521,1,7.89,1.95
SIGR11,Títulos e Val. Mob.,99.9,3.09,1.28,1.03,200302000,0,0,0.0,0.0
SJAU11,Logística,24.3,47.43,14.02,1.21,192754000,6551,0,0.0,0.0
SMRE11,Outros,79.99,0.21,15.56,0.78,75596800,263917,0,0.0,0.0
SNAG11,Híbrido,9.73,11.4,12.95,0.95,591004000,1375760,3,9.6,0.0
SNCI11,Títulos e Val. Mob.,91.91,12.12,12.85,0.94,386022000,446704,0,0.0,0.0
SNCR11,Híbrido,97.8,13.3,0.0,1.02,472992000,0,0,0.0,0.0
SNEL11,Híbrido,8.59,4.81,13.76,1.06,329291000,1062360,1,7.1,0.0
SNFF11,Títulos e Val. Mob.,73.37,9.13,13.26,0.88,294994000,584504,0,0.0,0.0
SNFZ11,Híbrido,9.82,5.15,6.06,1.0,60884000,47082,2,1.5,0.0
SNLG11,Híbrido,0.8,342.61,1.24,7.09,2023970,104708,0,0.0,0.0
SNME11,Híbrido,9.7,11.99,12.83,1.02,71957000,27526,0,0.0,0.0
SOFF11,Outros,101.94,-1.01,4.45,1.09,32884000,135420,0,0.0,0.0
SOLR11,Híbrido,1051.35,-2.14,0.0,1.1,67778400,0,1,0.0,0.0
SPDE11,Residencial,1266.67,12.71,13.39,0.94,115774000,0,0,0.0,0.0
SPMO11,Híbrido,144.0,-0.13,0.0,1.07,260974000,0,0,0.0,0.0
SPTW11,Lajes Corporativas,35.02,26.44,14.07,0.6,62966000,56157,1,28.84,0.0
SPXS11,Híbrido,8.61,12.06,13.59,0.92,173828000,357120,0,0.0,0.0
SRVD11,Títulos e Val. Mob.,3.0,-0.12,0.0,5.52,288858000,0,0,0.0,0.0
STRX11,Híbrido,153.61,8.21,6.15,1.08,247859000,4,2,8.6,6.88
TBOF11,Lajes Corporativas,101.5,-0.11,0.0,486.34,1020080000,0,1,0.0,15.37
TELM11,Híbrido,10.0,5.54,6.36,1.01,21473600,30482,1,0.0,0.0
TEPP11,Lajes Corporativas,81.52,9.28,12.69,0.84,344175000,565080,5,10.06,0.0
TGAR11,Híbrido,87.65,11.81,14.89,0.78,2065730000,4216630,5,3.64,0.0
THRA11,Lajes Corporativas,138.5,2.96,0.0,14.52,203973000,0,0,0.0,0.0
TJKB11,Lajes Corporativas,251.0,7.58,13.73,0.95,292326000,79437,8,9.31,0.0
TMPS11,Títulos e Val. Mob.,81.94,12.05,14.8,0.87,80216600,248327,0,0.0,0.0
TOPP11,Outros,71.13,6.89,7.88,0.72,322094000,416627,2,3.61,19.41
TORD11,Híbrido,3.37,0.31,1.92,0.57,118123000,24673,0,0.0,0.0
TOUR11,Residencial,8.8,0.0,0.0,0.0,0,0,3,0.0,0.0
TRBL11,Logística,60.5,8.61,13.49,0.64,468215000,447372,6,17.76,0.0
TRNT11,Lajes Corporativas,97.5,6.3,0.07,0.55,383717000,15305,1,9.65,34.2
TRXB11,Híbrido,131.99,7.17,15.4,1.25,450594000,3335950,13,12.44,0.0
TRXF11,Híbrido,100.75,10.99,12.53,0.99,2018580000,6796060,40,8.08,0.0
TRXL11,Híbrido,103.38,6.75,0.0,1.0,4471100000,0,30,5.36,2.89
TRXY11,Híbrido,9.5,4.52,7.48,1.02,34292300,199240,0,0.0,0.0
TSER11,Lajes Corporativas,100.8,11.39,12.32,1.03,139584000,5,1,8.8,0.0
TSNC11,Híbrido,84.44,3.31,0.0,1.06,91767700,21,1,-0.07,100.0
TVRI11,Lajes Corporativas,92.79,9.98,12.78,0.91,1477190000,1252020,61,13.76,2.83
UBSR11,Títulos e Val. Mob.,102.5,10.46,0.0,1.14,2710270000,0,1,0.0,100.02
URHF11,Híbrido,90.5,23.69,15.24,0.94,9992740,4002,0,0.0,0.0
URPR11,Outros,40.09,15.16,25.03,0.4,470412000,1683400,0,0.0,0.0
VCJR11,Títulos e Val. Mob.,81.03,14.27,14.13,0.86,1193080000,1623330,0,0.0,0.0
VCRA11,Títulos e Val. Mob.,63.9,20.59,17.37,0.63,293551000,742466,0,0.0,0.0
VCRI11,Títulos e Val. Mob.,7.45,11.21,14.31,0.79,153050000,117272,0,0.0,0.0
VCRR11,Logística,64.23,10.59,10.33,0.51,128460000,224337,4,21.3,0.0
VERE11,Outros,445.76,6.75,6.37,0.88,284326000,0,3,12.34,28.37
VGHF11,,7.55,12.1,14.0,0.88,1243650000,2829200,0,0.0,0.0
VGIA11,Títulos e Val. Mob.,8.93,13.92,15.44,0.93,772044000,1534360,0,0.0,0.0
VGII11,Outros,101.41,11.83,8.26,1.06,52618100,203892,0,0.0,0.0
VGIP11,Títulos e Val. Mob.,80.85,12.45,14.08,0.9,952999000,1428600,0,0.0,0.0
VGIR11,Títulos e Val. Mob.,9.4,12.18,13.76,0.96,1373350000,6191350,0,0.0,0.0
VGRI11,,8.2,16.71,20.45,0.78,287178000,562864,5,18.12,20.64
VHFA11,Outros,10.0,12.72,4.99,0.98,94802600,335953,0,0.0,0.0
VIFI11,Títulos e Val. Mob.,7.53,11.66,8.5,0.94,60911600,0,0,0.0,0.0
VILG11,Logística,84.06,8.81,9.14,0.75,1260680000,1566170,15,10.58,3.04
VINO11,Lajes Corporativas,5.09,10.72,11.9,0.49,421586000,641178,10,16.58,7.82
VISC11,Shoppings,102.8,9.16,9.39,0.83,2963580000,3643780,30,9.98,5.31
VIUR11,Outros,5.81,14.17,13.67,0.66,156558000,190963,7,14.48,3.14
VJFD11,Híbrido,155.02,6.09,3.94,0.95,755898000,0,39,6.41,0.0
VLOL11,Lajes Corporativas,98.0,6.78,0.0,0.88,174913000,0,0,0.0,0.0
VOTS11,Títulos e Val. Mob.,82.22,12.79,9.84,0.9,68071000,17839,0,0.0,0.0
VPSI11,Shoppings,25.0,10.69,10.13,0.81,201797000,0,16,10.98,0.0
VRTA11,Títulos e Val. Mob.,79.8,12.75,12.52,0.9,1244280000,1479390,0,0.0,0.0
VRTM11,Híbrido,7.13,10.02,15.03,0.76,334905000,467615,24,0.0,0.0
VSEC11,Títulos e Val. Mob.,0.21,700.84,0.0,0.7,13174,0,0,0.0,0.0
VSHO11,Shoppings,72.3,11.98,10.75,0.69,151743000,20407,3,22.57,10.21
VSLH11,Outros,2.94,9.45,14.48,0.29,87800400,154329,0,0.0,0.0
VTLT11,Logística,90.05,12.67,12.5,0.86,190456000,56173,1,14.56,0.0
VTPL11,Híbrido,72.1,-0.73,0.0,0.72,99948000,2,1,0.0,0.0
VVCR11,Títulos e Val. Mob.,10.08,10.59,11.19,0.96,75684000,39887,0,0.0,0.0
VVMR11,Híbrido,85.99,3.64,7.4,0.8,242765000,1359530,5,7.89,2.83
VVPR11,Híbrido,101.5,8.99,0.0,1.04,234036000,0,6,9.87,0.0
VVRI11,Híbrido,80.0,9.18,10.99,0.83,64214600,174186,2,17.93,0.0
VXXV11,Outros,700.0,-0.78,0.0,1.14,193512000,925733,1,3.68,90.0
WHGR11,Híbrido,8.8,12.97,13.42,0.92,272029000,309618,1,0.0,0.0
WPLZ11,Shoppings,47.75,8.45,8.24,0.72,55750500,4829,1,9.45,10.22
WSEC11,Títulos e Val. Mob.,6.81,15.09,11.24,0.78,16728800,4179,0,0.0,0.0
WTSP11,Híbrido,51.02,25.84,22.08,0.61,63191900,446,1,6.36,4.14
XPCA11,Títulos e Val. Mob.,7.78,13.27,12.62,0.81,354170000,893291,0,0.0,0.0
XPCI11,Títulos e Val. Mob.,79.22,12.01,12.83,0.9,689337000,1291110,0,0.0,0.0
XPCM11,Lajes Corporativas,7.32,-13.02,0.0,0.27,17674700,23443,1,3.05,58.0
XPHT11,Hotel,123.0,3.07,0.0,1.78,1133880000,0,14,3.5,0.0
XPIN11,Outros,71.25,7.77,11.67,0.68,509468000,322886,81,12.28,6.01
XPLG11,Logística,98.54,8.14,9.62,0.92,3072080000,3108050,17,8.89,1.34
XPML11,Shoppings,104.18,9.67,10.5,0.89,5909170000,11521600,15,8.47,4.57
XPPR11,Outros,12.54,5.72,3.89,0.31,91744800,0,2,16.75,43.94
XPSF11,Títulos e Val. Mob.,6.17,13.62,12.76,0.8,267174000,369610,0,0.0,0.0
XTED11,Lajes Corporativas,8.82,9.73,0.0,0.61,87318000,0,4,11.0,0.0
YCHY11,Híbrido,1000.0,-5.29,0.0,9.89,4235040000,0,12,0.79,0.0
YUFI11,Residencial,59.5,3.73,3.4,0.79,29312700,0,38,42.83,0.0
ZAGH11,Híbrido,9.39,5.8,8.06,1.0,83492700,19453,1,3.5,0.0
ZAVC11,Títulos e Val. Mob.,9.04,14.53,16.33,0.9,28000000,18348,0,0.0,0.0
ZAVI11,Híbrido,90.75,17.22,14.72,0.7,106479000,49962,9,15.28,0.83
ZIFI11,Híbrido,598.3,-2.33,0.0,0.34,28410300,5087,0,0.0,0.0
